CAN, , , , , , ,GRL, ,ISL, , , , ,NOR,SWE,FIN, , , , , , , , , , ,
USA, , ,BHS, , , , , , , , , , , , ,EST, , , , , , , , , , ,
MEX,BLZ, ,CUB, , , , , , , , , ,DNK, , ,LVA, , , , , , , , , , ,
GTM, , ,JAM,HTI,DOM,ATG, , ,IRL,GBR, ,NLD,DEU,POL,LTU,BLR, , , , , , , ,RUS, , ,
SLV,HND, , , ,KNA,LCA, , , , ,FRA,BEL,CHE,CZE,SVK,UKR,MDA, , , , , ,KAZ,MNG, , ,
 ,NIC, , , , ,VCT,BRB, , ,PRT,ESP,LUX,SVN,AUT,HUN,ROU, , ,ARM,GEO,UZB,KGZ,CHN,PRK, ,JPN,
 , ,CRI, , , ,DMA, , , , , ,ITA,HRV,BIH,SRB,BGR,TUR,SYR,IRQ,AZE,TKM,TJK,BTN,KOR, , ,
 , , ,PAN, , ,GRD, , , ,MLT, , , ,MNE,XKX,MKD,JOR,KWT,IRN,PAK,AFG,BGD,MMR, , , ,
 , , , ,COL,VEN,TTO, , , , , , , ,ALB,GRC,CYP,LBN,SAU,BHR, ,IND,NPL, ,LAO,VNM, ,
 , , , ,ECU,GUY, , , , , , , , , , ,PSX,ISR,QAT,ARE, , , ,THA,KHM, , ,
 , , , ,PER,BOL,SUR,BRA, , , ,MAR,DZA,TUN,LBY,EGY, ,YEM,OMN, , ,LKA, ,MYS, ,PHL, ,
 , , , , ,PRY,URY, , , ,MRT,GMB,SEN,MLI,NER,SDN, , , , ,MDV, , , ,BRN, , ,
 , , , , ,CHL, , , , ,GNB,SLE,BFA,TCD,SSD,ERI,DJI, , , , , , ,SGP,IDN, , ,
 , , , , ,ARG, , , , ,GIN,LBR,GHA,TGO,BEN,CAF,ETH,SOM, , , , , , ,TLS, , ,
 , , , , , , , , ,CPV, ,CIV,NGA,CMR,COD,UGA,KEN, , , , , , , , ,MHL, ,
 , , , , , , , , , ,STP, ,GNQ,COG,BDI,RWA,TZA, , , , , , , ,PLW,FSM, ,
 , , , , , , , , , , , ,AGO,GAB,MWI,MOZ, ,SYC, , , , , , ,PNG,NRU,KIR,
 , , , , , , , , , , , , ,ZMB,BWA,ZWE, ,COM, , , , , , , ,SLB,TUV,WSM
 , , , , , , , , , , , , , ,NAM,SWZ,LSO, ,MDG, , , , ,AUS, ,VUT,FJI,TON
 , , , , , , , , , , , , , , ,ZAF, , ,MUS, , , , , , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , ,NZL, ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , ,ATA, , , , , , , , , , , , , 
